my gene	prokka annotation	article gene	article prokka annotation	eggnog annotation
CBNIABCL_00600	 Biopolymer transport protein ExbD	LFTS_02061	 biopolymer transport protein ExbD	biopolymer transport protein
CBNIABCL_00599	 hypothetical protein	LFTS_02062	 protein TonB	energy transducer activity
CBNIABCL_00598	 hypothetical protein	LFTS_02063	 hypothetical protein	 Not found 
CBNIABCL_00597	 Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	LFTS_02064	 DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	Transcriptional regulatory protein, C terminal
CBNIABCL_00596	 hypothetical protein	LFTS_02065	 hypothetical protein	amine dehydrogenase activity
CBNIABCL_00595	 RecBCD enzyme subunit RecD	LFTS_02066	 DNA helicase/exodeoxyribonuclease V, alpha subunit	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD
CBNIABCL_00594	 RecBCD enzyme subunit RecB	LFTS_02067	 DNA helicase/exodeoxyribonuclease V, beta subunit	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit contributes ATPase, 3'-5' helicase, exonuclease activity and loads RecA onto ssDNA
CBNIABCL_00593	 RecBCD enzyme subunit RecC	LFTS_02068	 DNA helicase/exodeoxyribonuclease V, gamma subunit	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit recognizes the wild- type Chi sequence, and when added to isolated RecB increases its ATP-dependent helicase processivity
CBNIABCL_00592	 Alcohol dehydrogenase	LFTS_02069	 alcohol dehydrogenase, propanol-preferring	alcohol dehydrogenase
CBNIABCL_00591	 putative HTH-type transcriptional regulator YusO	LFTS_02070	 DNA-binding transcriptional regulator, MarR family	helix_turn_helix multiple antibiotic resistance protein
CBNIABCL_00590	 Outer membrane protein OprM	LFTS_02071	 efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family	Evidence 2b Function of strongly homologous gene
CBNIABCL_00589	 Efflux pump membrane transporter BepE	LFTS_02072	 multidrug efflux pump	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
CBNIABCL_00588	 Multidrug efflux pump subunit AcrA	LFTS_02073	 membrane fusion protein, multidrug efflux system	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
CBNIABCL_00587	 hypothetical protein	LFTS_02074	 hypothetical protein	 Not found 
CBNIABCL_00586	 hypothetical protein	LFTS_02075	 putative membrane-anchored protein	Repeat of Unknown Function (DUF347)
CBNIABCL_00585	 putative diguanylate cyclase AdrA	LFTS_02076	 diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase
CBNIABCL_00581	 NAD-reducing hydrogenase HoxS subunit alpha	LFTS_02078	 NADH-quinone oxidoreductase subunit F	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
CBNIABCL_00580	 hypothetical protein	LFTS_02079	 sugar ABC transporter substrate-binding protein	 Not found 
CBNIABCL_00579	 hypothetical protein	LFTS_02080	 adenine-specific DNA-methyltransferase	DNA methylase
CBNIABCL_00578	 hypothetical protein	LFTS_02081	 competence protein ComEC	Competence protein
CBNIABCL_00577	 Phosphoglucosamine mutase	LFTS_02082	 phosphoglucosamine mutase	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate
CBNIABCL_00576	 Putative HTH-type transcriptional regulator YwnA	LFTS_02083	 Rrf2 family protein	2 iron, 2 sulfur cluster binding
CBNIABCL_00575	 N-ethylmaleimide reductase	LFTS_02084	 N-ethylmaleimide reductase	NADH:flavin oxidoreductase / NADH oxidase family
CBNIABCL_00574	 hypothetical protein	LFTS_02085	 hypothetical protein	 Not found 
CBNIABCL_00573	 Outer membrane lipoprotein Omp16	LFTS_02086	 OmpA family protein	chlorophyll binding
CBNIABCL_00572	 hypothetical protein	LFTS_02087	 OmpA family protein	chlorophyll binding
CBNIABCL_00571	 hypothetical protein	LFTS_02088	 hypothetical protein	 Not found 
CBNIABCL_00570	 hypothetical protein	LFTS_02089	 hypothetical protein	 Not found 
CBNIABCL_00569	 hypothetical protein	LFTS_02090	 Peptidase C39 family protein	Peptidase C39 family
CBNIABCL_00568	 hypothetical protein	LFTS_02091	 hypothetical protein	 Not found 
CBNIABCL_00567	 hypothetical protein	LFTS_02092	 hypothetical protein	 Not found 
CBNIABCL_00566	 Transcriptional regulatory protein ZraR	LFTS_02093	 DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	Bacterial regulatory protein, Fis family
CBNIABCL_00565	 hypothetical protein	LFTS_02094	 Cytochrome C oxidase, cbb3-type, subunit III	Cytochrome C oxidase, cbb3-type, subunit III
CBNIABCL_00564	 hypothetical protein	LFTS_02095	 hypothetical protein	 Not found 
CBNIABCL_00563	 hypothetical protein	LFTS_02096	 Septum formation initiator	cell cycle
CBNIABCL_00562	 Enolase	LFTS_02097	 enolase	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
CBNIABCL_00561	 hypothetical protein	LFTS_02098	 Tetraheme cytochrome c subunit of nitrate or TMAO reductase	denitrification pathway
CBNIABCL_00560	 hypothetical protein	LFTS_02099	 hypothetical protein	 Not found 
CBNIABCL_00559	 Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	LFTS_02100	 aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)
CBNIABCL_00558	 Glutamyl-tRNA(Gln) amidotransferase subunit A	LFTS_02101	 aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit A	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln)
CBNIABCL_00557	 Aspartate 1-decarboxylase	LFTS_02102	 L-aspartate 1-decarboxylase	Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine
CBNIABCL_00556	 Glutamyl-tRNA(Gln) amidotransferase subunit C	LFTS_02103	 aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)
CBNIABCL_00555	 ATP-dependent DNA helicase PcrA	LFTS_02104	 DNA helicase-2 / ATP-dependent DNA helicase PcrA	UvrD-like helicase C-terminal domain
CBNIABCL_00554	 Protein TolB	LFTS_02105	 TolB protein	Involved in the tonB-independent uptake of proteins
CBNIABCL_00553	 Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	LFTS_02106	 glucosamine--fructose-6-phosphate aminotransferase (isomerizing)	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source
CBNIABCL_00552	 Bifunctional protein GlmU	LFTS_02107	 bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase	Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain
CBNIABCL_00551	 hypothetical protein	LFTS_02108	 putative membrane protein	Protein of unknown function (DUF502)
CBNIABCL_00550	 hypothetical protein	LFTS_02109	 hypothetical protein	Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety
CBNIABCL_00549	 Cadmium-induced protein CadI	LFTS_02110	 Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein	glyoxalase bleomycin resistance protein dioxygenase
CBNIABCL_00548	 Transcriptional repressor SdpR	LFTS_02111	 DNA-binding transcriptional regulator, ArsR family	transcriptional regulator
CBNIABCL_00547	 hypothetical protein	LFTS_02112	 hypothetical protein	 Not found 
CBNIABCL_00546	 NAD-dependent protein deacetylase	LFTS_02113	 Sir2 family protein	COG0846 NAD-dependent protein deacetylases, SIR2 family
CBNIABCL_00545	 hypothetical protein	LFTS_02114	 Iron-binding zinc finger CDGSH type	Iron-binding zinc finger CDGSH type
CBNIABCL_00544	 Putative oxidoreductase MhqP	LFTS_02115	 putative oxidoreductase	Evidence 4 Homologs of previously reported genes of
CBNIABCL_00543	 putative HTH-type transcriptional regulator/GBAA_1941/BAS1801	LFTS_02116	 DNA-binding transcriptional regulator, MarR family	Winged helix-turn-helix DNA-binding
CBNIABCL_00542	 Methylthioribulose-1-phosphate dehydratase	LFTS_02117	 methylthioribulose-1-phosphate dehydratase	Catalyzes the dehydration of methylthioribulose-1- phosphate (MTRu-1-P) into 2,3-diketo-5-methylthiopentyl-1- phosphate (DK-MTP-1-P)
CBNIABCL_00541	 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	LFTS_02118	 2-hydroxy-3-keto-5-methylthiopentenyl-1- phosphate phosphatase	L-methionine salvage from methylthioadenosine
CBNIABCL_00540	 2,3-diketo-5-methylthiopentyl-1-phosphate enolase	LFTS_02119	 2,3-diketo-5-methylthiopentyl-1-phosphate enolase	Ribulose bisphosphate carboxylase large
CBNIABCL_00539	 Acireductone dioxygenase	LFTS_02120	 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	Catalyzes 2 different reactions between oxygene and the acireductone 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK-MTPene) depending upon the metal bound in the active site. Fe-containing acireductone dioxygenase (Fe-ARD) produces formate and 2-keto-4- methylthiobutyrate (KMTB), the alpha-ketoacid precursor of methionine in the methionine recycle pathway. Ni-containing acireductone dioxygenase (Ni-ARD) produces methylthiopropionate, carbon monoxide and formate, and does not lie on the methionine recycle pathway
CBNIABCL_00538	 putative peroxiredoxin	LFTS_02121	 peroxiredoxin (alkyl hydroperoxide reductase subunit C)	C-terminal domain of 1-Cys peroxiredoxin
CBNIABCL_00537	 Cytochrome c551 peroxidase	LFTS_02122	 cytochrome c peroxidase	Di-haem cytochrome c peroxidase
CBNIABCL_00536	 Peroxide-responsive repressor PerR	LFTS_02123	 Fur family transcriptional regulator, peroxide stress response regulator	Belongs to the Fur family
CBNIABCL_00535	 hypothetical protein	LFTS_02124	 hypothetical protein	 Not found 
CBNIABCL_00534	 Thymidylate kinase	LFTS_02125	 thymidylate kinase	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis
CBNIABCL_00533	 DNA polymerase III subunit gamma/tau	LFTS_02126	 DNA polymerase-3 subunit delta'	DNA polymerase III, delta subunit
CBNIABCL_00532	 hypothetical protein	LFTS_02127	 hypothetical protein	PSP1 C-terminal conserved region
CBNIABCL_00531	 Methionine--tRNA ligase	LFTS_02128	 methionyl-tRNA synthetase	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation
CBNIABCL_00530	 D-aminoacyl-tRNA deacylase	LFTS_02129	 TatD DNase family protein	TatD related DNase
CBNIABCL_00529	 hypothetical protein	LFTS_02130	 Ribosomal protein S18 acetylase RimI	transferase activity, transferring acyl groups
CBNIABCL_00528	 hypothetical protein	LFTS_02131	 YacP-like NYN domain protein	YacP-like NYN domain
CBNIABCL_00527	 putative amino acid permease YhdG	LFTS_02132	 amino acid/polyamine/organocation transporter, APC superfamily	Amino acid permease
CBNIABCL_00526	 hypothetical protein	LFTS_02133	 hypothetical protein	 Not found 
CBNIABCL_00525	 hypothetical protein	LFTS_02134	 hypothetical protein	 Not found 
CBNIABCL_00524	 hypothetical protein	LFTS_02135	 hypothetical protein	 Not found 
CBNIABCL_00523	 hypothetical protein	LFTS_02136	 Bacterial Ig-like domain (group 3)	domain protein
CBNIABCL_00522	 putative amino acid permease YhdG	LFTS_02137	 basic amino acid/polyamine antiporter, APA family	amino acid
CBNIABCL_00521	 NADH dehydrogenase-like protein YjlD	LFTS_02138	 NADH dehydrogenase	Pyridine nucleotide-disulphide oxidoreductase
CBNIABCL_00520	 hypothetical protein	LFTS_02139	 Purine-cytosine permease	cytosine transport
CBNIABCL_00519	 hypothetical protein	LFTS_02140	 hypothetical protein	 Not found 
CBNIABCL_00518	 hypothetical protein	LFTS_02141	 hypothetical protein	 Not found 
CBNIABCL_00517	 GTPase Der	LFTS_02142	 GTP-binding protein	GTPase that plays an essential role in the late steps of ribosome biogenesis
CBNIABCL_00516	 Phosphoenolpyruvate synthase	LFTS_02143	 phosphoenolpyruvate synthase	PEP-utilising enzyme, mobile domain
CBNIABCL_00515	 Nitrogen regulation protein NR(I)	LFTS_02144	 Sigma-54 interaction domain-containing protein	transcription factor binding
CBNIABCL_00514	 hypothetical protein	LFTS_02145	 hypothetical protein	 Not found 
CBNIABCL_00513	 Amino-acid acetyltransferase	LFTS_02146	 N-acetylglutamate synthase	Belongs to the acetyltransferase family. ArgA subfamily
CBNIABCL_00512	 Methyl-accepting chemotaxis protein 3	LFTS_02147	 methyl-accepting chemotaxis protein	transmembrane signaling receptor activity
CBNIABCL_00511	 Trans-aconitate 2-methyltransferase	LFTS_02148	 Methyltransferase domain-containing protein	O-methyltransferase
CBNIABCL_00510	 putative oxidoreductase	LFTS_02149	 NADP-dependent 3-hydroxy acid dehydrogenase YdfG	Enoyl-(Acyl carrier protein) reductase
CBNIABCL_00509	 Glucose-6-phosphate 1-dehydrogenase 1	LFTS_02150	 glucose-6-phosphate 1-dehydrogenase	Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone
CBNIABCL_00508	 6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating	LFTS_02151	 6-phosphogluconate dehydrogenase (decarboxylating)	6-phosphogluconate dehydrogenase
CBNIABCL_00506	 Phosphoribosylglycinamide formyltransferase	LFTS_02153	 phosphoribosylglycinamide formyltransferase-1	Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate
CBNIABCL_00505	 Phosphoribosylformylglycinamidine cyclo-ligase	LFTS_02154	 phosphoribosylformylglycinamidine cyclo-ligase	AIR synthase related protein, N-terminal domain
CBNIABCL_00504	 hypothetical protein	LFTS_02155	 hypothetical protein	 Not found 
CBNIABCL_00502	 hypothetical protein	LFTS_02156	 hypothetical protein	long-chain fatty acid transporting porin activity
CBNIABCL_00501	 Ribonuclease 3	LFTS_02157	 ribonuclease-3	Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre- crRNA and tracrRNA of type II CRISPR loci if present in the organism
CBNIABCL_00500	 3-oxoacyl-[acyl-carrier-protein] synthase 2	LFTS_02158	 3-oxoacyl-[acyl-carrier-protein] synthase II	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP
CBNIABCL_00499	 Acyl carrier protein	LFTS_02159	 acyl carrier protein	Carrier of the growing fatty acid chain in fatty acid biosynthesis
CBNIABCL_00498	 3-oxoacyl-[acyl-carrier-protein] reductase FabG	LFTS_02160	 3-oxoacyl-[acyl-carrier-protein] reductase	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism
CBNIABCL_00497	 Malonyl CoA-acyl carrier protein transacylase	LFTS_02161	 [acyl-carrier-protein] S-malonyltransferase	Acyl transferase domain
CBNIABCL_00496	 3-oxoacyl-[acyl-carrier-protein] synthase 3	LFTS_02162	 3-oxoacyl-[acyl-carrier-protein] synthase-3	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids
CBNIABCL_00495	 Phosphate acyltransferase	LFTS_02163	 phosphate:acyl-[acyl carrier protein] acyltransferase	Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA
CBNIABCL_00494	 50S ribosomal protein L32	LFTS_02164	 LSU ribosomal protein L32P	Belongs to the bacterial ribosomal protein bL32 family
CBNIABCL_00493	 hypothetical protein	LFTS_02165	 hypothetical protein	Uncharacterized ACR, COG1399
CBNIABCL_00492	 Proline--tRNA ligase	LFTS_02166	 prolyl-tRNA synthetase	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS
CBNIABCL_00491	 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	LFTS_02167	 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate
CBNIABCL_00490	 Metalloprotease MmpA	LFTS_02168	 site-2 protease. Metallo peptidase. MEROPS family M50B	Peptidase family M50
CBNIABCL_00489	 1-deoxy-D-xylulose 5-phosphate reductoisomerase	LFTS_02169	 1-deoxy-D-xylulose 5-phosphate reductoisomerase	Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP)
CBNIABCL_00487	 Phosphatidate cytidylyltransferase	LFTS_02170	 phosphatidate cytidylyltransferase	Cytidylyltransferase family
CBNIABCL_00486	 Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	LFTS_02171	 undecaprenyl diphosphate synthase	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids
CBNIABCL_00485	 hypothetical protein	LFTS_02172	 hypothetical protein	cAMP biosynthetic process
CBNIABCL_00484	 Formate--tetrahydrofolate ligase	LFTS_02173	 Formate-tetrahydrofolate ligase	Formate--tetrahydrofolate ligase
CBNIABCL_00483	 Undecaprenyl-diphosphatase	LFTS_02174	 undecaprenyl-diphosphatase	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin
CBNIABCL_00482	 Sec-independent protein translocase protein TatC	LFTS_02175	 sec-independent protein translocase protein TatC	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes
CBNIABCL_00481	 Sec-independent protein translocase protein TatB	LFTS_02176	 sec-independent protein translocase protein TatB	protein secretion
CBNIABCL_00480	 hypothetical protein	LFTS_02177	 hypothetical protein	 Not found 
CBNIABCL_00479	 Ribosomal-protein-alanine acetyltransferase	LFTS_02178	 ribosomal-protein-alanine N-acetyltransferase	acetyltransferase
CBNIABCL_00478	 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	LFTS_02179	 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	Glycoprotease family
CBNIABCL_00477	 DNA repair protein RadA	LFTS_02180	 DNA repair protein RadA/Sms	DNA-dependent ATPase involved in processing of recombination intermediates, plays a role in repairing DNA breaks. Stimulates the branch migration of RecA-mediated strand transfer reactions, allowing the 3' invading strand to extend heteroduplex DNA faster. Binds ssDNA in the presence of ADP but not other nucleotides, has ATPase activity that is stimulated by ssDNA and various branched DNA structures, but inhibited by SSB. Does not have RecA's homology-searching function
CBNIABCL_00476	 hypothetical protein	LFTS_02181	 hypothetical protein	 Not found 
CBNIABCL_00475	 hypothetical protein	LFTS_02182	 putative lysine decarboxylase	Possible lysine decarboxylase
CBNIABCL_00474	 Metalloprotease PmbA	LFTS_02183	 microcin-processing peptidase 1. Unknown type peptidase. MEROPS family U62	Putative modulator of DNA gyrase
CBNIABCL_00473	 Metalloprotease TldD	LFTS_02184	 TldD protein	Putative modulator of DNA gyrase
CBNIABCL_00472	 Esterase EstB	LFTS_02185	 CubicO group peptidase, beta-lactamase class C family	Beta-lactamase
CBNIABCL_00471	 Phytoene synthase	LFTS_02186	 squalene synthase HpnC	ergosterol biosynthetic process
CBNIABCL_00470	 15-cis-phytoene desaturase	LFTS_02187	 squalene-associated FAD-dependent desaturase	Flavin containing amine oxidoreductase
CBNIABCL_00469	 All-trans-phytoene synthase	LFTS_02188	 farnesyl-diphosphate farnesyltransferase	Squalene/phytoene synthase
CBNIABCL_00468	 Creatinine amidohydrolase	LFTS_02189	 creatinine amidohydrolase	creatininase
CBNIABCL_00467	 Chromosome-partitioning ATPase Soj	LFTS_02190	 chromosome partitioning protein	Anion-transporting ATPase
CBNIABCL_00466	 hypothetical protein	LFTS_02191	 hypothetical protein	 Not found 
CBNIABCL_00465	 Murein tetrapeptide carboxypeptidase	LFTS_02192	 muramoyltetrapeptide carboxypeptidase	carboxypeptidase activity
CBNIABCL_00464	 hypothetical protein	LFTS_02193	 hypothetical protein	 Not found 
CBNIABCL_00463	 hypothetical protein	LFTS_02194	 hypothetical protein	 Not found 
CBNIABCL_00462	 hypothetical protein	LFTS_02195	 hypothetical protein	 Not found 
CBNIABCL_00460	 Phosphoglycolate phosphatase	LFTS_02197	 phosphoglycolate phosphatase	glycolate biosynthetic process
CBNIABCL_00459	 hypothetical protein	LFTS_02198	 outer membrane lipoprotein	identical protein binding
CBNIABCL_00458	 hypothetical protein	LFTS_02199	 hypothetical protein	Domain of unknown function (DUF4912)
CBNIABCL_00457	 Phage shock protein A 	LFTS_02200	 phage shock protein A (PspA) family protein	Phage shock protein A
CBNIABCL_00456	 hypothetical protein	LFTS_02201	 hypothetical protein	 Not found 
CBNIABCL_00455	 hypothetical protein	LFTS_02202	 putative glycosyl transferase	Glycosyl Transferase
CBNIABCL_00454	 hypothetical protein	LFTS_02203	 hypothetical protein	 Not found 
CBNIABCL_00452	 Tyrosine recombinase XerD	LFTS_02205	 Site-specific recombinase XerD	Phage integrase family
CBNIABCL_00451	 hypothetical protein	LFTS_02206	 hypothetical protein	 Not found 
CBNIABCL_00450	 hypothetical protein	LFTS_02207	 putative helicase	helicase
CBNIABCL_00448	 hypothetical protein	LFTS_02208	 hypothetical protein	 Not found 
CBNIABCL_00447	 Ribonuclease VapC46	LFTS_02209	 putative nucleic acid-binding protein, contains PIN domain	PIN domain
CBNIABCL_00446	 hypothetical protein	LFTS_02210	 hypothetical protein	 Not found 
CBNIABCL_00445	 hypothetical protein	LFTS_02211	 hypothetical protein	 Not found 
CBNIABCL_00444	 hypothetical protein	LFTS_02212	 hypothetical protein	 Not found 
CBNIABCL_00443	 hypothetical protein	LFTS_02213	 hypothetical protein	 Not found 
CBNIABCL_00442	 hypothetical protein	LFTS_02214	 Nucleotidyl transferase AbiEii toxin, Type IV TA system	Nucleotidyl transferase AbiEii toxin, Type IV TA system
CBNIABCL_00440	 hypothetical protein	LFTS_02216	 hypothetical protein	Nucleotidyl transferase AbiEii toxin, Type IV TA system
CBNIABCL_00439	 hypothetical protein	LFTS_02217	 hypothetical protein	
CBNIABCL_00438	 Insertion sequence IS5376 putative ATP-binding protein	LFTS_02218	 Integrase core domain-containing protein	PFAM Integrase, catalytic
CBNIABCL_00437	 hypothetical protein	LFTS_02219	 hypothetical protein	 Not found 
CBNIABCL_00436	 hypothetical protein	LFTS_02220	 putative addiction module killer protein	addiction module killer protein
CBNIABCL_00435	 hypothetical protein	LFTS_02221	 putative addiction module antidote protein	
CBNIABCL_00434	 hypothetical protein	LFTS_02222	 conjugal transfer/type IV secretion protein DotA/TraY	 Not found 
CBNIABCL_00433	 hypothetical protein	LFTS_02223	 hypothetical protein	DNA integration
CBNIABCL_00432	 hypothetical protein	LFTS_02224	 putative ATPase	AAA ATPase domain
CBNIABCL_00431	 hypothetical protein	LFTS_02225	 hypothetical protein	 Not found 
CBNIABCL_00430	 hypothetical protein	LFTS_02226	 three-Cys-motif partner protein	Protein of unknown function (DUF5131)
CBNIABCL_00429	 hypothetical protein	LFTS_02227	 protein gp37	Protein of unknown function (DUF5131)
CBNIABCL_00428	 hypothetical protein	LFTS_02228	 hypothetical protein	Transposase
CBNIABCL_00427	 hypothetical protein	LFTS_02229	 hypothetical protein	 Not found 
CBNIABCL_00426	 hypothetical protein	LFTS_02230	 hypothetical protein	 Not found 
CBNIABCL_00425	 Hydroxyacylglutathione hydrolase	LFTS_02231	 Glyoxylase, beta-lactamase superfamily II	4Fe-4S single cluster domain of Ferredoxin I
CBNIABCL_00424	 putative MFS-type transporter	LFTS_02232	 putative arabinose efflux permease, MFS family	Major facilitator Superfamily
CBNIABCL_00423	 hypothetical protein	LFTS_02233	 hypothetical protein	 Not found 
CBNIABCL_00422	 Glycogen operon protein GlgX 	LFTS_02234	 glycogen operon protein	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
CBNIABCL_00421	 3'3'-cGAMP-specific phosphodiesterase 1	LFTS_02235	 HD domain-containing protein	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology
